HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD055981	provisional	unknown	unknown				91 AD	AE 2005, 1732.	$] / quoru[m nomina subscripta sunt ipsis liberis] / poster[isque eorum civitatem dedit et conubi]/um cu[m uxoribus quas tunc habuissent cum] / est civi[tas iis data aut si qui caelibes essent cum] / iis qua[s postea duxissent dumtaxat singuli] / singul[as a(nte) d(iem) IIII Idus Maias] / P(ublio) [Valerio Marino] / Gn(aeo) [Minicio Faustino co(n)s(ulibus)] / [& // [Imp(erator) Caesar divi Ves]pasiani f(ilius) D[omitianus Augustus German]icus pontif[ex maximus tribunic(ia) potestat(e)] X imp(erator) XX[I co(n)s(ul) XV censor perpetuus p(ater) p(atriae) &	10	https://godot.date/id/7vrENM9GrQjiEqgGmF4ndP
HD055984	provisional	unknown	Turkey?				160 AD	AE 2005, 1730.	Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Traia[ni] / Parth(ici) {|(milliaria)} nep(os) divi Nervae pron(epos) T(itus) Aelius H[a]/drianus Antoninus Aug(ustus) Pius pont(ifex) max(imus) / trib(unicia) pot(estate) XXIII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / equitibus et peditibus qui militave/runt in alis tribus quae appellantur / Gallorum et Thracum Const(antium) et Antia/na Gallorum et Thracum sag(ittaria) et VII Phry/gum et cohortibus decem et duabus V ge/mella et I Thracum |(milliaria) et I Sebastenorum / |(milliaria) et I Damascenorum Armeniacum(!) sag(ittaria) / et I Montanorum et I Flavia{e} c(ivium) R(omanorum) et I et / II Ulpiae Galatarum et III et IV Callaeco/rum Bracaraugustanor(um) et IV et VI Ulpi/ae Petreorum et sunt in Syria Pa/laestina sub Maximo Luciliano leg(ato) / quinque et viginti stipendi(i)s emeri/tis dimissis honesta missione quo/rum nomina subscripta sunt civita/tem Romanam qui eorum non haberent / dedit et conubium cum uxoribus quas / tunc habuissent cum est civitas i(i)s da/ta aut cum i(i)s quas postea duxissent dum/taxat singulis Nonis Mart(iis) / A(ulo) Platorio Nepote / M(arco) Postumio Festo co(n)s(ulibus) / coh(ortis) I Sebastenorum |(milliariae) cui prae(e)st / C(aius) Avillius Maximus / ex pedite / Vaxade Vaxadi f(ilio) Suedr(ensi) / descipt(um) et recognit(um) ex tabul(a) aere(a) / quae fix(a) est Rom(ae) in mur(o) post templ(um) / divi Aug(usti) ad Minervam // Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Traiani Parth(ici) / nep(os) divi Nervae pron(epos) T(itus) Aelius Hadrianus / Antoninus Aug(ustus) Pius pont(ifex) max(imus) trib(unicia) pot(estate) / XXIII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / equitibus et peditibus qui militaverunt in a/lis tribus quae appellantur Gallorum et Thra/cum Const(antium) et Antiana Gallorum et Thracum / sag(ittaria) et VII Phrygum et cohortibus XII V gemel/la et I Thracum |(milliaria) et I Sebastenorum |(milliaria) et / I Damascenorum Armeniacum(!) sag(ittaria) et I Monta/norum et I Flavia{e} c(ivium) R(omanorum) et I et II Ulpiae Galatarum / et III et IV Callaecorum Bracaraugustanorum / et IV et VI Ulpiae Petreorum et sunt in Syria / Palaestina sub Maximo Luciliano leg(ato) XXV / stipendi(i)s emeritis dimissis honesta missio/ne quorum nomina subscripta sunt civita/tem Romanam qui eorum non haberent dedit / et conubium cum uxoribus quas tunc habuissent / cum est civitas i(i)s data aut cum i(i)s quas postea / [d]uxissent dumtaxat singulis	23	https://godot.date/id/rvexubb7hBzTBf87S2BTNL
HD055985	provisional	unknown	unknown				86 AD	AE 2005, 1731.	[Imp(erator) Caesar div]i Vespasiani f(ilius) [Domitianus Augustus Germ]anicus ponti[fex maximus tribunic(ia) potest]at(e) V imp(erator) XII [censor perpetuus] co(n)s(ul) XII [p(ater) p(atriae) equitibus et pedi]tibus qui mili[tant in alis duabus quae appella]ntur v[eterana Gaetu]lor[um & // $] / [--- veterana Gaetu]/lor[um et I Thracum Mauretana et cohor]/tibus q[uattuor I Augusta Lusitanorum] / et I et II [Thracum et II Cantabrorum et] / sunt in [Iudaea sub Cn(aeo) Pompeio Longino] / qui q[uina et vicena ---] / [&	5	https://godot.date/id/jpKpH39e6shXrTDVjFK7y6
HD055987	provisional	unknown	unknown				131 AD	AE 2005, 1724.	[Imp(erator) Caes(ar)] divi Traian[i Parthici f(ilius) divi Nervae nep(os) Trai]anus Hadri[anus Aug(ustus) pont(ifex) max(imus) tribunic(ia) potest(ate)] XV co(n)s(ul) III [p(ater) p(atriae) proco(n)s(ul) peditibus q]ui militaveru[nt in coh(orte) I Fl(avia) Musulami]orum quae est [in Maur(etania) Caes(ariensi) sub V]ettio Latrone [quin(is) et vic(enis) plur(ibusve) stip]endi(i)s emerit[is dim(issis) hon(esta) mis]sione quorum nomina s[ubscr(ipta) sunt ips(is) libe]ris posterisqu(e) eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut siqui caelibes essent cum i(i)s quas postea duxissent dumtaxat singu<li=IL>#singu<li>#SINGUIL singulas pr(idie) K(alendas) Au[g(ustas)?] L(ucio) Fabio Gallo Q(uinto) Fabio Iuliano [Optatiano co(n)s(ulibus)] coh(ortis) I Flav(iae) Musulamior(um) cu[i praeest] Iulius Ho[noratus?] ex pedite Diurdano Damanaei f(ilius) [---] et Zispier Zurosi fil(iae) uxori eius [---] et Decebalo f(ilio) e[ius] et Dossacho f(ilio) e[ius] et Comadici f(ilio) e[ius] et Davappier fil(iae) e[ius] et Daeppier fil(iae) e[ius] descriptum et recognitum ex tabu[la aenea quae] fixa est Romae in muro post t[emplum] divi Aug(usti) ad Miner[vam] // [Imp(erator) Caes(ar) div]i Traiani Parthici f(ilius) divi Nerv/[ae nep(os) Traian]us Hadrianus Aug(ustus) pont(ifex) max(imus) tr/[ibunic(ia) potest(ate) XV co(n)s(ul)] III p(ater) p(atriae) proco(n)s(ul) / pe[ditibus] qu[i militaverunt i]n coh(orte) I Fl(avia) Mus(ulamiorum) quae est in Maur(etania) / Caes(ariensi) sub Vettio Latrone quin(is) et vic(enis) plur(ibusve) / stip(endiis) emer(itis) dim(issis) hon(esta) miss(ione) quor(um) nom(ina) / subscr(ipta) sunt ips(is) l<i=L>b(eris)#l<i>b(eris)#LLB post(erisque) eor(um) / [civitatem dedit e]t con(ubium) cum ux(oribus) quas t/[unc habuissent cum e]st civ(itas) i(i)s dat(a) aut siq/[ui caelibes essent cu]m i(i)s qu[as postea duxissent &	15	https://godot.date/id/ipvKCecEbCHXbQdeY8HeVD
HD055998	provisional	unknown	unknown				123 AD	AE 2005, 1713.	$] / [--- singuli] / sing[ulas a(nte) d(iem) --- T(ito) Salvio] / Ruf[ino Minicio Opimiano Cn(aeo) Sentio Aburniano co(n)s(ulibus)] / coh(ortis) [--- cui praeest] / L(ucius) [---] / [& // [Imp(erator) Caes(ar) divi Traiani Parthic]i f(ilius) divi Ne[rvae nep(os) Traianus Hadrianus] Aug(ustus) pont(ifex) [max(imus) tribunic(ia) potestat(e) VII co(n)s(ul) III &	7	https://godot.date/id/iiapbPRXRbgzzwjeRN9JDT
HD056000	provisional	unknown	unknown				127 AD	AE 2005, 1715.	$] / L(ucio) Aemilio [Iunco Sex(to) Iulio Severo co(n)s(ulibus)] / coh(ortis) II [--- cui prae(e)st] / L(ucius) Aemiliu[s ---] / Antonio D[--- f(ilio) ---] / et Antonio <f=E>(ilio)#<f>(ilio)#E eius [et --- f(ilio) eius] / et Maximae fil(iae) ei[us ---] / descriptum et r[ecognitum ex tabula] / aenea quae fixa [est Romae in muro] / post templum d[ivi Aug(usti) ad Minervam] // [Imp(erator) Caes(ar) divi Traiani Parthi]ci f(ilius) divi Nervae / [nepos Traianus Hadrian]us Aug(ustus) pontif(ex) / [maxim(us) tribunic(ia) potestat(e) XI co(n)s(ul)] III / [equ(itibus) et ped(itibus) qui mil(itaverunt) in al(a) I et coh(ortibus)] IX quae app(ellantur) I Pann(oniorum) / [et I? Chalc(idenorum)? et I Suror(um) sag(ittaria) et I] Fl(avia) Afr(orum) et I Fl/[av(ia) et II? Fl(avia)? Afr(orum)? et II? Hisp(anorum)? et II? Ham(iorum)? et] VI Com<ma=AM>g(enorum)#Com<ma>g(enorum)#COMAMG / [et VII? Lusitan(orum)? et sunt in Africa sub F]abio Ca[t]/[ullino ---] / [&	11	https://godot.date/id/Vr2hNtDv2eJYBUpNUwzTf
HD056003	provisional	unknown	unknown				140 AD	AE 2005, 1718.	[Imp(erator) Caes(ar) divi] Hadriani f(ilius) divi Traian[i Parthici nep(os)] divi Nervae pronep(os) [T(itus) Aelius Hadr]ianus Antoninus Aug(ustus) [Pius pontif(ex) m]ax(imus) trib(unicia) pot(estate) III co(n)s(ul) III p(ater) p(atriae) [pedit(ibus) et equi]t(ibus) qui milit(averunt) in coh(orte) I Ulpia [Pannonior(um) |(milliaria) qu]ae est in Pannon(ia) super(iore) [sub Sergio? Pau]llo quinque et vigin[ti stip(endiis) emer]it(is) dimiss(is) honest(a) [missione quor(um)] nomina subscrip[ta sunt ipsis liberis poste]risq(ue) eorum c[ivit(atem) ded(it) et conu]bium cum [uxoribus & // $] qua(e) est in Pa[nnon(ia) super(iore) sub Sergio?] Paullo XXV [stip(endiis) emerit(is) dimiss(is) honest(a) missione] quor(um) nom[ina subscripta sunt ipsis liberis posterisq(ue) eorum] civit(atem) ded(it) et con[ubium cum uxoribus quas tunc habuissent] cum est civ[itas iis data aut si qui caelibes essent cum iis quas postea duxissent dum]t[a]x[at &	3	https://godot.date/id/RerSbThPiSDRT9sZTMb7ZB
HD056004	provisional	unknown	unknown				145 AD	AE 2005, 1719.	$] / singu[lis a(nte) d(iem) ---] / L(ucio) Petro[nio Sabino C(aio) Vicrio Rufo co(n)s(ulibus)] / alae [I Hispanorum Arvacorum cui prae(e)st] / L(ucius) Ab[urnius Severus Heracl(ea)?] / [& // [Imp(erator) Caes(ar) divi Hadriani f(ilius) d]ivi Traian(i) [Parth(ici) n(epos) divi Nervae pronep(os) T(itus) Ael(ius) Hadr(ianus) Antoninu]s Aug(ustus) Pi(?)u(?)[s? pont(ifex)? max(imus) trib(unicia) pot(estate) VIII imp(erator) II co(n)s(ul) IIII p(ater) p(atriae) &	8	https://godot.date/id/dk2MMUf4SXCRAnE6FaoNkC
HD056048	provisional	unknown	unknown				178 AD	AE 2004, 1902.	[Imp(erator) Caesar divi Antonini fil(ius) d]ivi Veri Parthici m[a]/[ximi frater divi Hadriani n]epos divi Traiani Pa/[rthici pronepos divi Nervae a]bnepos M(arcus) Aurelius / [Antoninus Aug(ustus) Germanicus] Sarmaticus ponti/[fex maximus tribunic(ia) potest(ate) XX]XII imp(erator) VIIII co(n)s(ul) III p(ater) p(atriae) et / [Imp(erator) L(ucius) Aelius Aurelius Commod]us Aug(ustus) Antonini / [Aug(usti) fil(ius) divi Pii nepos divi Hadriani pro]nepos divi / [Traiani Parthici abnepos divi Nerva]e adnepos / [Germanicus Sarmatic(us) tribunic(ia) potest(ate) III imp(erator) II] co(n)s(ul) p(ater) p(atriae) / [equitibus et peditibus qui militaverunt] in alis V / [quae appellantur Gallorum et Thracum classiana et Augusta Voc]ontior[um & // $] / L[---] / N[-]M[---] / [--- et I] / Van[gionum et VII Thracum et I Morinorum et sunt] / in Br[itannia sub Ulpio Marcello leg(ato) quinis et vicenis plu]/ribus[ve stipendi(i)s emeritis dimissis honesta missione] / quorum [nomina subscripta sunt civitatem Romanam qui] / eorum n[on haberent dederunt et conubium cum uxo]/ribus quas t[unc habuissent cum est civitas iis data aut] / cum iis quas [postea duxissent &	32	https://godot.date/id/ExYiniaRe2HyjNDCaKUqwH
HD056051	provisional	unknown	unknown				159 AD	AE 2004, 1905.	[Imp(erator) Caes(ar) di]vi Hadriani f(ilius) divi Traia/[ni Par(thici)] nep(os) divi Nervae pronep(os) / [T(itus) Aelius Had]rianus Antoninus Aug(ustus) Pius / [pont(ifex) max(imus) tri]b(unicia) pot(estate) XXII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / [equitibus et p]edit(ibus) qui milit(averunt) in alis quae / [app(ellantur) I Ul(pia) c]ont(ariorum) |(milliaria) et I Thr(acum) sag(ittaria) et I Can/[nan(efatium) c(ivium) R(omanorum) et] I Hispan(orum) Arvac(orum) et III Aug(usta) Thrac(um) / [sag(ittaria) et coh(ortibus) VI I] Ulp(ia) Pann(oniorum) |(milliaria) et I Thrac(um) c(ivium) R(omanorum) et II / [Alp(inorum) et] IV vol(untariorum) c(ivium) R(omanorum) et V Callaec(orum) Lucens(ium) / [et XIIX vol(untariorum)] c(ivium) R(omanorum) et sunt in Pann(onia) super(iore) / [sub Noni]o Macrino leg(ato) quinq(ue) et / [viginti st]ipend(iis) emer(itis) dimis(sis) honest(a) / [missio]n(e) quor(um) nomin(a) subscript(a) / [sunt civ]it(atem) Roman(am) qui eor(um) non haber(ent) / [dedit e]t conub(ium) cum uxorib(us) quas tunc / [habuis(sent)] cum est civit(as) i(i)s dat(a) aut cum / [i(i)s quas] pos(tea) duxis(sent) dumtax(at) singulis / [a(nte) d(iem)] XI K(alendas) Iul(ias) M(arco) Pisibanio Lepido / [L(ucio) Matuccio Fusci]no co(n)s(ulibus) / [--- cui] prae(e)st / [& // $] / [---]ON[---] / [---]ET[--- et V Callaec(orum)] / Lucens(ium) [et XIIX vol(untariorum) c(ivium) R(omanorum) et sunt in Pann(onia)] / sup(eriore) sub Nonio Macrino le[g(ato) quinq(ue) et viginti stipend(iis) emer(itis) dimi]/s(sis) hon(esta) mission(e) quorum nomin(a) [subscript(a) sunt] / civ(itatem) Rom(anam) qui eor(um) non ha(berent) de[dit et conub(ium) cu]/m uxori(bus) quas tunc hab[uis(sent) cum est civit(as) i(i)s] / dat(a) aut [c]um i(i)s [q]ua[s pos(tea) dux]/is(sent) dumtax(at) singulis	22	https://godot.date/id/MZabHR2LvQazPJskh8xs6a
HD056053	provisional	unknown	unknown				155 AD	AE 2004, 1907.	[Imp(erator) C]aes(ar) divi Hadria[ni f(ilius) divi Traia]ni Parthici nepos [divi Nervae pr]onepos T(itus) Aelius Had[rianus Anto]ninus Aug(ustus) Pius pon[t(ifex)] max(imus) trib(unicia) [p]ot(estate) XVIII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) [p]editibus et equitibus qui milit(averunt) in coh(ortibus) III quae appellant(ur) I Aelia Athoitar(um) et II Lucens(ium) et II Mattiacor(um) et sunt in Thracia sub Iulio Commodo leg(ato) quinis et vicenis pluribusve stipend(iis) emeritis dimiss(is) honesta missione quorum nomina subscript(a) sunt civitatem Roman(am) qui eorum non haberent dedit et conubium cum uxoribus quas tunc ha[b]uiss(ent) cum est civitas [i(i)s] data aut [c]um i(i)s quas postea d[uxisse]nt dumtaxat singulis a(nte) d(iem) VI Id(us) Mart(ias) C(aio) Iulio Severo M(arco) Iunio Sabiniano co(n)s(ulibus) coh(ortis) II Mattiacor(um) cui prae(e)st Antonius Annianus ex pedite Aelio Batonis f(ilio) Dassio Pann(onio) des<c=T>ript(um)#des<c>ript(um)#DESTRIPT et recognit(um) ex tab(ula) aer(ea) quae fixa est Rom(ae) in mur(o) post templ(um) divi Aug(usti) ad Minervam // [Imp(erator) Caes(ar)] divi Hadrian[i] f(ilius) [d]ivi Traian/[i Par]thic(i) nep(os) divi Nervae pron(epos) T(itus) Aelius / Hadrianus Anto[ninus Aug(ustus) Pius p]ont(ifex) / max(imus) trib(unicia) pot(estate) XVIII imp(erator) [II] co(n)s(ul) II [p(ater)] p(atriae) / ped(itibus) et equit(ibus) qui mil(itaverunt) in coh(ortibus) III q[uae] / app(ellantur) I Aeli(a) Athoit(arum) et II Lucens(ium) et II Matt(iacorum) / et [s]unt [i]n [T]hrac(ia) sub Iulio Commodo / leg(ato) [quinis et vicenis pluri]busve stip(endiis) [e]mer(itis) dimis(sis) / [h]onest(a) miss(ione) [qu]or(um) nomin(a) sub/[scrip]t(a) sun[t] civit(atem) Ro[m(anam)] qui eor(um) / [non hab(erent)] de[d]it et c[on]ub(ium) cum / [uxoribus quas] tunc ha[b(uissent)] cum est / [civitas] i(i)s dat(a) aut cum i(i)s quas [po]s/[tea duxissent] dumtaxat singulis	18	https://godot.date/id/4T7YU5vGnBt7qQsV3r2JQH
HD056055	provisional	unknown	unknown				90 AD	AE 2004, 1910.	$] quor(um) nom[ina subscripta sunt ipsis libe]ris posterisq[ue eorum civitatem dedit et co]nubium cum [uxoribus quas tunc habuissent cu]m est civita[s iis data aut si qui caelibes essent c]um iis qua[s postea duxissent dumtaxat sing]uli si[ngulas a(nte) d(iem) VI] K(alendas) N[ovembr(es) Albio Pullaieno Pollione Cn(aeo) Pompeio Longino co(n)s(ulibus) coho]rt(is) I A[quitanorum veteranae cui praeest] M(arcus) Arreci[nus Gemellus equiti] Tharsae [---] descriptum e[t recognitum ex tabula aenea] quae fixa est [Romae in muro post templum] divi Aug(usti) ad [Minervam] // [Imp(erator) Caesar divi Vespasiani f(ilius) Domitia]nus Augus/[tus Germanicus pontifex maximus] tribunic(ia) [potestat(e) X imp(erator) XXI censor p]erpetuus [co(n)s(ul) XV pater] patriae [equitibus qui militant in alis qu]a<t=I>(t)uor#qu]a<t>(t)uor#AIUOR I Flavia [gemina I Cannanefatium I singularium Scubulorum et peditibus] et eq[uitibus qui in cohortibus decem et quattuo]r I Flavia D[amascenorum milliaria I Biturigu]m I <T=I>hracum#<T>hracum#IHRACUM [I Aquitanorum veterana I Asturum I]I Aquitanor[um II Cyrenaica II Raetorum III Delmat]arum [&	10	https://godot.date/id/7vrENM9GrQjiEqgGmF4ndP
HD056056	provisional	unknown	unknown				152 AD	AE 2004, 1911.	Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Traiani / Parthic(i) n(epos) divi Nervae pron(epos) T(itus) Aelius / Hadrianus Antoninus Aug(ustus) Pius pont(ifex) / max(imus) trib(unicia) pot(estate) XV imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / equitib(us) et pedit(ibus) exerc(itus) Germ(anici) pii fid(elis) qui / mil(itaverunt) in al(is) IV et coh(ortibus) XV quae appell(antur) Noric(orum) / et Sulpic(ia) c(ivium) R(omanorum) et Afror(um) vet(erana) et I Thr(acum) et I Fl(avia) Hisp(anorum) / et I Latobi<c=G>(orum)#Latobi<c>(orum)#LATOBIG et Varc(ianorum) et VI Ingen(uorum) et I Pann(oniorum) / et Dalm(atarum) et II c(ivium) R(omanorum) et I Raet(orum) et VI Raet(orum) et VI Britt(onum) / et II Astur(um) et I class(ica) et II Hisp(anorum) et I Lucens(ium) / et XV vol(untariorum) c(ivium) R(omanorum) et II Varc(ianorum) et IV Thr(acum) et sunt / in Germ(ania) infer(iore) sub Salvio Iuliano leg(ato) / quinq(ue) et vigint(i) item classic(is) sex et vi/gint(i) stip(endiis) emer(itis) dimis(sis) honest(a) miss(ione) / quor(um) nomin(a) subscript(a) sunt civit(atem) / Roman(am) qui eor(um) non hab(erent) dedit et conub(ium) / cum uxor(ibus) quas tunc ha<b=S>(uissent)#ha<b>(uissent)#HAS cum est civit(as) / i(i)s dat(a) aut cum i(i)s quas post(ea) duxis(sent) dum/tax(at) singul(is) / Non(is) Sept(embribus) / C(aio) Novio Prisco / L(ucio) Iulio Romulo co(n)s(ulibus) / coh(ortis) XV vol(untariorum) c(ivium) R(omanorum) cui praeest / Q(uintus) Gavius Proculus / ex pedit(e) / Surodago Surpogissi f(ilio) Daco / descript(um) et recognit(um) ex tabul(a) aer(ea) / quae fixa est Romae in muro post / templ(um) divi Aug(usti) ad Minervam // M(arci) Servili Getae / L(uci) Pulli Chresimi / M(arci) Sentili Iasi / Ti(beri) Iuli Felicis / C(ai) Iuli Silvani / L(uci) Pulli Velocis / P(ubli) Ocili Prisci	15	https://godot.date/id/V4JZugAcvqPyh76Y277CF
HD056058	provisional	unknown	unknown				100 AD	AE 2004, 1913.	$ libe]/ris posterisque eor[um civitatem dedit et co]/nubium cum uxori[bus quas tunc habuissent] / cum est civitas iis da[ta aut si qui caelibes essent] / cum iis quas postea d[uxissent dumtaxat singu]/li singulas a(nte) d(iem) [---] / C(aio) Cilnio [Proculo] / M(arco) Marcio [Macro co(n)s(ulibus)] / cohort(is) I Augus[tae c(ivium) R(omanorum) cui praeest] / Aurelius [---] / ex ce[nturione] / Q(uinto) Antonio Q(uinti) f(ilio) T[---] / descriptum et recognit[um ex tabula aenea quae fi]/xa est Romae in muro [post templum divi Aug(usti)] / ad Miner[vam] // [Imp(erator) Caesar divi Ner]vae f(ilius) Nerva Traianus / [Augustus German]icus pontifex maxim/[us tribunicia potes]tat(e) IIII p(ater) p(atriae) co(n)s(ul) III / [iis qui milita]verunt eques in ala / [Thracum Herculan]a et centurio in cohor/[te I Augusta c(ivium) R(omanorum)] quae [su]nt in Cappado/[cia &	4	https://godot.date/id/6x9aGYbhPBTet9wihy3pLL
HD056065	provisional	unknown	unknown				158 AD	AE 2004, 1919.	[Imp(erator) Ca]es(ar) divi Ha[driani f(ilius) divi Traiani] Parthici ne[pos divi Nervae pro]nepos T(itus) Aeliu[s Hadrianus Anto]ninus Aug(ustus) Piu[s pont(ifex) max(imus) tr(ibunicia) po]t(estate) XXI imp(erator) I[I co(n)s(ul) IIII p(ater) p(atriae) e]q[u]itibus qui in[ter singulares mi]litaverunt [quibus praeest ---]nus Betule[nus Apronianus quinq]ue et viginti [stipendiis emeritis di]missis hon[esta missione quoru]m nomina [subscripta sunt civitat]em Roman[am qui eorum non ha]berent [dedit & // $ T(itus) Aelius] Hadrianus [Antoninus Aug(ustus) Pius] / pont(ifex) max(imus) tr(ibunicia) pot(estate) X[XI imp(erator) II co(n)s(ul) IIII p(ater) p(atriae)] / equitibus qui in<t=I>e[r#in<t>e[r#INIE singulares milita]/verunt quibus pra[eest ---nus] / [Betule]nus Apronianus [quinque et viginti stipendiis emeritis] / dimissis hon[esta missione ---] / [&	21	https://godot.date/id/8Z5huJ9Qt2HbC94dFzX5sT
HD056066	provisional	unknown	unknown				94 AD	AE 2004, 1920.	$] / [plurib(us)]/[ve] stipendiis emeritis dimissis h[onesta] / [mis]sione quorum nomina subscr[ipta] / [sunt] ipsis liberis posterisque eoru[m civi]/[tatem] dedit et conubium cum uxorib[us quas] / [tunc] habuissent cum est civitas ii[s data aut si] / [qui] caelibes essent cum iis quas post[ea duxis]/[sent] dumtaxat singuli singulas a(nte) d(iem) II[---] / [C]n(aeo) Lollio Paullino Valerio Asiatico Sat[urnino] / C(aio) Antio Iulio Quadrato [co(n)s(ulibus)] / alae I Thracum Herculanae [cui praeest] / C(aius) Lucilius C(ai) f(ilius) Ouf(entina) [---] / ex gregale / [---] Dorisae Dolentis [f(ilio) ---] / [d]escriptum et recognitum [ex tabula] / [ae]nea quae fixa est Rom(a)e in m[uro post] / [templ]um divi Aug(usti) ad Minervam // [Imp(erator) Caesar divi Vespasia]ni f(ilius) Domitia[nus] / [Augustus Germanicu]s pontifex maxim[us] / [tribunic(ia) potestat(e) XI]II imp(erator) XXII co(n)s(ul) XVI / [censor perpet]uus p(ater) p(atriae) / [iis qui militaverunt] equites et pedites in / [alis tribus et coho]rtibus decem et tribus / [quae appellantur T]hracum Herculana et / [I gemina colonorum] et I Augusta Germ<a=N>ni/[ciana#Germ<a>ni/[ciana#GERMNNI et I Augusta c]ivium Romanorum et / [--- e]t I Italica milliaria / [voluntariorum ci]vium Romanorum et I/[&	13	https://godot.date/id/A3kkx3Y8PJVLaLUS3s2nRD
HD056071	provisional	Mauretania Tingitana	Morocco	Thamusida	Sidi Ali ben Ahmed		104 AD	AE 2004, 1891.	$ et] / geme[lliana c(ivium) R(omanorum) et Gallorum Taur(iana)] / torquata victrix [c(ivium) R(omanorum) et I Itu]/r(a)eorum c(ivium) R(omanorum) et I As[tur(um) et Call(aecorum) c(ivium) R(omanorum) et I] / Celtiberorum et [I Lemav(orum) c(ivium) R(omanorum) et I Bra]/carorum c(ivium) R(omanorum) et II [Hispan(orum) c(ivium) R(omanorum) et II Syror]/um |(milliaria) sagittari[orum c(ivium) R(omanorum) et] / III Asturum c(ivium) R(omanorum) e[t IIII Gall(orum) c(ivium) R(omanorum) et V Delma]/tarum et [sunt in Mauretania Ting(itana)] / sub L(ucio) [& // [Imp(erator) Caesar divi Ne]rvae f(ilius) Nerva Traianus / [Augustus Germanic]us Dacicus pontifex max(imus) / [tribunicia pote]sta(te) VIII imp(erator) (I)V co(n)s(ul) V p(ater) [p(atriae)] / [equitibus et peditib]us qui militave[run]t in / [alis quinque et coh]ortibus decem [quae] / [appellantur I Ha]miorum sagittarioru[m] / [Syrorum et III] Asturum [c(ivium) R(omanorum) et] / [Augusta] c(ivium) R(omanorum) et gem[elliana c(ivium) R(omanorum)] / [et Gallorum Ta]ur(iana) [torq(uata) victrix c(ivium) R(omanorum)] / [et Itur(a)eorum c(ivium) R(omanorum) et I Astur]um c(ivium) R(omanorum) [et Call(aecorum) c(ivium) R(omanorum)] / [et I Celt(iberorum) et I Lemav(orum) c(ivium) R(omanorum)] / [et I Brac(arorum) c(ivium) R(omanorum)] et II Hisp[an(orum) c(ivium) R(omanorum) et] / [II Syrorum |(milliaria) sagittariorum c(ivium) R(omanorum) et] / [III Asturum c(ivium) R(omanorum)] et IIII Gallo(rum) [c(ivium) R(omanorum) et] / [V Delmatarum et sunt] in [Maur(etania) Ting(itana) &	8	https://godot.date/id/W7VFc5V96i5LQcgpe5vTeJ
HD056074	provisional	Moesia inferior	Bulgaria	Sexaginta Prista	Ruse		105 AD	AE 2004, 1256.	Imp(erator) Caesar divi Nervae f(ilius) Nerva Traia/nus Augustus Germanicus Dacicus / pontifex maximus tribunic(ia) potes/tat(e) VIIII imp(erator) IIII co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militant in alis / tribus et cohortibus septem quae appel/lantur I Flavia Gaetulorum et I Astu/rum et II Hispanorum et Arvacorum et / I Lepidiana c(ivium) R(omanorum) et I Bracaraugustanorum / et I Sugambrorum tironum et II Mattia/corum et II Chalcidenorum et II Flavia / Brittonum et Ubiorum et sunt in Moe/sia inferiore sub A(ulo) Caecilio Faustino / qui quina et vicena plurave stipendia / meruerunt item dimissis honesta / missione quorum nomina subscripta / sunt ipsis liberis posterisque eorum / civitatem dedit et conubium cum / uxoribus quas tunc habuissent cum / civitas iis data aut si qui caelibes es/sent cum iis quas postea duxissent dum/taxat singuli singulas a(nte) d(iem) III Idus Mai(as) / C(aio) Iulio Basso Cn(aeo) Afranio Dextro co(n)s(ulibus) / alae II Hispanorum et Arvacorum cui / prae(e)st L(ucius) Fabius L(uci) f(ilius) Pal(atina) Fabullus / gregali / Atrecto Capitonis f(ilio) Nemet(i) / descriptum et recognitum ex tabula / aenea quae fixa est Romae in muro / post templum divi Aug(usti) ad Minerva(m) // Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus August(us) / Germanicus pontifex maximus tribunic(ia) / potestat(e) VIIII imp(erator) IIII / co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militant in alis / tribus et cohortibus septem quae ap(p)ellantur / I Flavia Gaetulorum et I Asturum et II Hispano/rum et Arvacorum et I Lepidiana c(ivium) R(omanorum) et I Braca/raugustanorum et I Sugambrorum tironum / et II Mattiacorum et II Chalcidenorum et / II Flavia Brittannorum et Ubiorum et sunt / in Moesia inferiore sub A(ulo) Caecilio Faustino / qui quina et vicena plurave stipendia / meruerunt item dimissis honesta missione	9	https://godot.date/id/mq7Y4kodBkGgkNDcoXKpYA
